episode: 3330 	finetune acc:0.931250 		test acc:0.943750
episode: 3360 	finetune acc:0.925000 		test acc:0.947917
episode: 3390 	finetune acc:0.937500 		test acc:0.958333
episode: 3420 	finetune acc:0.950000 		test acc:0.945833
episode: 3450 	finetune acc:0.962500 		test acc:0.941667
episode: 3480 	finetune acc:0.956250 		test acc:0.939583
episode: 3510 	finetune acc:0.931250 		test acc:0.952083
episode: 3540 	finetune acc:0.943750 		test acc:0.958333
episode: 3570 	finetune acc:0.975000 		test acc:0.943750
episode: 3600 	finetune acc:0.925000 		test acc:0.954167
episode: 3630 	finetune acc:0.968750 		test acc:0.966667
episode: 3660 	finetune acc:0.956250 		test acc:0.956250
episode: 3690 	finetune acc:0.931250 		test acc:0.947917
episode: 3720 	finetune acc:0.925000 		test acc:0.958333
episode: 3750 	finetune acc:0.906250 		test acc:0.952083
episode: 3780 	finetune acc:0.937500 		test acc:0.931250
episode: 3810 	finetune acc:0.943750 		test acc:0.950000
episode: 3840 	finetune acc:0.975000 		test acc:0.943750
episode: 3870 	finetune acc:0.931250 		test acc:0.929167
episode: 3900 	finetune acc:0.931250 		test acc:0.950000
episode: 3930 	finetune acc:0.962500 		test acc:0.939583
episode: 3960 	finetune acc:0.943750 		test acc:0.935417
episode: 3990 	finetune acc:0.975000 		test acc:0.920833
episode: 4020 	finetune acc:0.956250 		test acc:0.933333
episode: 4050 	finetune acc:0.943750 		test acc:0.954167
episode: 4080 	finetune acc:0.956250 		test acc:0.947917
episode: 4110 	finetune acc:0.900000 		test acc:0.956250
episode: 4140 	finetune acc:0.918750 		test acc:0.931250
episode: 4170 	finetune acc:0.937500 		test acc:0.962500
episode: 4200 	finetune acc:0.906250 		test acc:0.935417
episode: 4230 	finetune acc:0.943750 		test acc:0.954167
episode: 4260 	finetune acc:0.912500 		test acc:0.945833
episode: 4290 	finetune acc:0.950000 		test acc:0.945833
episode: 4320 	finetune acc:0.975000 		test acc:0.916667
episode: 4350 	finetune acc:0.912500 		test acc:0.943750
episode: 4380 	finetune acc:0.925000 		test acc:0.937500
episode: 4410 	finetune acc:0.925000 		test acc:0.945833
episode: 4440 	finetune acc:0.956250 		test acc:0.958333
episode: 4470 	finetune acc:0.906250 		test acc:0.956250
episode: 4500 	finetune acc:0.925000 		test acc:0.954167
episode: 4530 	finetune acc:0.937500 		test acc:0.956250
episode: 4560 	finetune acc:0.962500 		test acc:0.956250
episode: 4590 	finetune acc:0.950000 		test acc:0.943750
episode: 4620 	finetune acc:0.931250 		test acc:0.966667
episode: 4650 	finetune acc:0.968750 		test acc:0.962500
episode: 4680 	finetune acc:0.962500 		test acc:0.945833
episode: 4710 	finetune acc:0.956250 		test acc:0.933333
episode: 4740 	finetune acc:0.912500 		test acc:0.972917
episode: 4770 	finetune acc:0.937500 		test acc:0.952083
episode: 4800 	finetune acc:0.943750 		test acc:0.941667
episode: 4830 	finetune acc:0.956250 		test acc:0.966667
episode: 4860 	finetune acc:0.918750 		test acc:0.958333
episode: 4890 	finetune acc:0.987500 		test acc:0.950000
episode: 4920 	finetune acc:0.962500 		test acc:0.941667
episode: 4950 	finetune acc:0.956250 		test acc:0.956250
episode: 4980 	finetune acc:0.950000 		test acc:0.966667
episode: 5010 	finetune acc:0.943750 		test acc:0.967188
episode: 5040 	finetune acc:0.981250 		test acc:0.959375
episode: 5070 	finetune acc:0.975000 		test acc:0.951563
episode: 5100 	finetune acc:0.975000 		test acc:0.959375
episode: 5130 	finetune acc:0.968750 		test acc:0.973437
episode: 5160 	finetune acc:0.962500 		test acc:0.960938
episode: 5190 	finetune acc:0.968750 		test acc:0.957812
episode: 5220 	finetune acc:0.987500 		test acc:0.965625
episode: 5250 	finetune acc:0.968750 		test acc:0.946875
episode: 5280 	finetune acc:0.950000 		test acc:0.971875
episode: 5310 	finetune acc:0.950000 		test acc:0.965625
episode: 5340 	finetune acc:0.968750 		test acc:0.953125
episode: 5370 	finetune acc:0.962500 		test acc:0.971875
episode: 5400 	finetune acc:0.975000 		test acc:0.962500
episode: 5430 	finetune acc:0.968750 		test acc:0.953125
episode: 5460 	finetune acc:0.975000 		test acc:0.951562
episode: 5490 	finetune acc:0.956250 		test acc:0.973437
episode: 5520 	finetune acc:0.968750 		test acc:0.953125
episode: 5550 	finetune acc:0.950000 		test acc:0.967187
episode: 5580 	finetune acc:0.968750 		test acc:0.965625
episode: 5610 	finetune acc:0.993750 		test acc:0.967187
episode: 5640 	finetune acc:0.968750 		test acc:0.968750
episode: 5670 	finetune acc:0.950000 		test acc:0.965625
episode: 5700 	finetune acc:0.981250 		test acc:0.956250
episode: 5730 	finetune acc:0.968750 		test acc:0.975000
episode: 5760 	finetune acc:0.981250 		test acc:0.971875
episode: 5790 	finetune acc:0.956250 		test acc:0.970313
episode: 5820 	finetune acc:0.981250 		test acc:0.967187
episode: 5850 	finetune acc:0.962500 		test acc:0.959375
episode: 5880 	finetune acc:0.943750 		test acc:0.957812
episode: 5910 	finetune acc:0.993750 		test acc:0.967187
episode: 5940 	finetune acc:0.981250 		test acc:0.957813
episode: 5970 	finetune acc:0.962500 		test acc:0.959375
episode: 6000 	finetune acc:0.943750 		test acc:0.968750
episode: 6030 	finetune acc:0.968750 		test acc:0.965625
episode: 6060 	finetune acc:0.975000 		test acc:0.975000
episode: 6090 	finetune acc:0.962500 		test acc:0.957812
episode: 6120 	finetune acc:0.950000 		test acc:0.975000
